city1,geonameid1,country1,city2,geonameid2,country2
Kecskemét,,HU,Keskastel,3011467,FR
Kecskemét,,HU,Kecskemét,3050434,HU
Knittelfeld,,AT,Kitee,652615,FI
Knittelfeld,,AT,Kielce,769250,PL
Knittelfeld,,AT,Kil,2700960,SE
Knittelfeld,,AT,Lilienfeld,2772470,AT
Knittelfeld,,AT,Knittelfeld,2773887,AT
Koblenz,,DE,Kobleve,705540,UA
Koblenz,,DE,Kolwezi,922773,CD
Koblenz,,DE,Kobul,1138958,AF
Koblenz,,DE,Kobe,1859171,JP
Koblenz,,DE,Koblenz,2660123,CH
Koellerbach,,DE,Koelebaki,539555,RU
Koellerbach,,DE,Korbach,2885536,DE
Koellerbach,,DE,Kelsterbach,2891742,DE
Koellerbach,,DE,Keller,3004813,FR
Koellerbach,,DE,Keller,4702828,US
Konstanz,,DE,Konstanza,680963,RO
Konstanz,,DE,Konstantynów,692818,UA
Konstanz,,DE,Konstantynów,768210,PL
Konstanz,,DE,Kongtan,1804730,CN
Konstanz,,DE,Konstanz,2885679,DE
Kopenhagen,,DE,Koengoer,539147,RU
Kopenhagen,,DE,Kolpna,546092,RU
Kopenhagen,,DE,Koergan,1501321,RU
Kopenhagen,,DE,Kongtan,1804730,CN
Kopenhagen,,DE,Kopenhagen,2618425,DK
Kraków,,PL,Krajowa,680332,RO
Kraków,,PL,Krasiłów,704492,UA
Kraków,,PL,Krakow am See,2884850,DE
Kraków,,PL,Krapkowice,3094788,PL
Kraków,,PL,Kraków,3094802,PL
Kráľová pri Senci,,SK,Kozárvár,679886,RO
Kráľová pri Senci,,SK,Kárvár,1267635,IN
Kráľová pri Senci,,SK,Královice,3072941,CZ
Kráľová pri Senci,,SK,Kraljevica,3197390,HR
Kráľová pri Senci,,SK,Kraljevec na Sutli,3197394,HR
Köln,,DE,Kolpny,546092,RU
Köln,,DE,Kölcsény,705462,UA
Köln,,DE,Kolno,768785,PL
Köln,,DE,Köln-Porz,2852566,DE
Köln,,DE,Köln,2886242,DE
Landeck,,AT,Landeh,125726,IR
Landeck,,AT,Lanrodec,3007552,FR
Landeck,,AT,Landudec,3007806,FR
Landeck,,AT,Landrecies,3007830,FR
Landeck,,AT,Lander,5830007,US
Legnica,,PL,Lenina,536219,RU
Legnica,,PL,Leni,2524413,IT
Legnica,,PL,Lévignac,2998803,FR
Legnica,,PL,Łęknica,3093649,PL
Legnica,,PL,Legnica,3093692,PL
Liebenstein/Eger,,DE,Liens,2751813,NL
Liebenstein/Eger,,DE,Lieberose,2877932,DE
Liebenstein/Eger,,DE,Liebenburg,2877969,DE
Liebenstein/Eger,,DE,Liebenau,3092816,PL
Liebenstein/Eger,,DE,Liebenfels,3324633,AT
Liptovský Mikuláš,,SK,Liptsy,702989,UA
Liptovský Mikuláš,,SK,Lipsk,766142,PL
Liptovský Mikuláš,,SK,Lipovtsy,2020752,RU
Liptovský Mikuláš,,SK,Lipsk,2879139,DE
Liptovský Mikuláš,,SK,Liptovský Mikuláš,3059050,SK
Lonsee,,DE,Longsheng,1802431,CN
Lonsee,,DE,Longsheng,1942274,CN
Lonsee,,DE,Lorne,2159545,AU
Lonsee,,DE,Losone,2659853,CH
Lonsee,,DE,Lonsee,2875978,DE
Lubliniec,,PL,Lubiercy,532615,RU
Lubliniec,,PL,Lublin,765876,PL
Lubliniec,,PL,Lubin,2875625,DE
Lubliniec,,PL,Lubniewice,3092894,PL
Lubliniec,,PL,Lubliniec,3092906,PL
Miskolc,,HU,Mishkino,526247,RU
Miskolc,,HU,Mirskoj,526296,RU
Miskolc,,HU,Minsk,625144,BY
Miskolc,,HU,Masko,646486,FI
Miskolc,,HU,Miskolc,717582,HU
Mühldorf/Inn,,DE,Mühlethurnen,2659558,CH
Mühldorf/Inn,,DE,Mühltroff,2867888,DE
Mühldorf/Inn,,DE,Mühl Rosin,2867929,DE
Mühldorf/Inn,,DE,Mühlingen,2867953,DE
Mühldorf/Inn,,DE,Mühldorf,2868506,DE
München,,DE,Münchwilen,2659550,CH
München,,DE,Münchenstein,2659551,CH
München,,DE,Münchendorf,2771042,AT
München,,DE,Münchhausen,2867673,DE
München,,DE,München,2867714,DE
Neukirch,,DE,Neunkirch,2659478,CH
